"_lat","_lon","access","amenity","armrest","backrest","bench","bin","bus","capacity","changeset","check_date","check_date:shelter","colour","condition","construction:amenity","construction:shelter_type","covered","departures_board","description","direction","fixme","gtfs_id","highway","id","leisure","lit","mapillary","material","name","network","network:wikidata","network:wikipedia","note","operator","passenger_information_display","playground","public_transport","ref","ref:MTA","ref:signed","route_ref","seating","seats","shelter","shelter_type","sport","support","surface","survey:date","tactile_paving","timestamp","two_sided","uid","user","version","wheelchair"
"40.7091549","-74.0082155",,,,,,,,,144264372,,,,,,,,,,,,,,"node/11365172100","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2023-11-20T22:00:27Z",,11697944,"kguenther24",1,,
"40.709126","-74.0082456",,,,,,,,,144264372,,,,,,,,,,,,,,"node/11365172101","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2023-11-20T22:00:27Z",,11697944,"kguenther24",1,,
"40.7091538","-74.0082467",,,,,,,,,144264372,,,,,,,,,,,,,,"node/11365172102","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2023-11-20T22:00:27Z",,11697944,"kguenther24",1,,
"40.7283844","-73.9974356",,,,,"yes",,,,124543834,,,,,,,,,,,,,,"node/9934776565","picnic_table",,,"concrete",,,,,,,,,,,,,,,,,,,,,,,"2022-08-06T01:22:42Z",,5156387,"zhik",1,,
"40.7253665","-74.0023334",,,,,"yes",,,,126586920,,,,,,,,,,,,,,"node/10049317672","picnic_table","no",,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-24T15:40:09Z",,5156387,"zhik",1,,
"40.7253943","-74.0023154",,,,,"yes",,,,126586920,,,,,,,,,,,,,,"node/10049317673","picnic_table","no",,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-24T15:40:09Z",,5156387,"zhik",1,,
"40.7254342","-74.0022793",,,,,"yes",,,,126586920,,,,,,,,,,,,,,"node/10049317674","picnic_table","no",,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-24T15:40:09Z",,5156387,"zhik",1,,
"40.7144284","-74.0002725",,,,,"yes",,,,137771001,,,,,,,"no",,,,,,,"node/9115779796","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2023-06-26T02:19:57Z",,19501525,"astory",2,,
"40.7166056","-73.9941177",,,,,,,,,132386296,,,,,,,,,,,,,,"node/9652169818","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,"2022-04-08",,"2023-02-10T23:50:50Z",,5156387,"zhik",2,,
"40.716617","-73.9941556",,,,"yes",,,,,132386296,,,"Grey",,,,,,,,,,,"node/9652169917","picnic_table",,,"concrete",,,,,,,,,,,,,,,,,,"chess",,,"2022-04-08",,"2023-02-10T23:50:50Z",,5156387,"zhik",2,,
"40.7166104","-73.9941397",,,,,,,,,132386296,,,,,,,,,,,,,,"node/9652170017","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,"2022-04-08",,"2023-02-10T23:50:50Z",,5156387,"zhik",2,,
"40.7162544","-74.0015469",,,,,"yes",,,,147231258,,,,,,,,,,,,,,"node/9668390817","picnic_table","yes",,"concrete",,,,,,,,,,,,,,,,,,"chess",,,"2022-04-15",,"2024-02-08T19:50:03Z",,11697944,"kguenther24",2,,
"40.7162758","-74.0015364",,,,,"yes",,,,147231258,,,,,,,,,,,,,,"node/9668390917","picnic_table","yes",,"concrete",,,,,,,,,,,,,,,,,,"chess",,,"2022-04-15",,"2024-02-08T19:50:03Z",,11697944,"kguenther24",2,,
"40.716292","-74.0015209",,,,,"yes",,,,147231258,,,,,,,,,,,,,,"node/9668391817","picnic_table","yes",,"concrete",,,,,,,,,,,,,,,,,,"chess",,,"2022-04-15",,"2024-02-08T19:50:03Z",,11697944,"kguenther24",2,,
"40.7141891","-73.9997308",,,,,"yes",,,,146090017,,,,,,,"no",,,,,,,"node/11505204573","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.7141901","-73.9997133",,,,,"yes",,,,146090017,,,,,,,"no",,,,,,,"node/11505204574","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.7156182","-74.0001795",,,,,,,,,146090017,,,,,,,,,,,,,,"node/11505204963","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.7155751","-74.000182",,,,,,,,,146090017,,,,,,,,,,,,,,"node/11505204986","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.7156194","-74.0001043",,,,,,,,,146090017,,,,,,,,,,,,,,"node/11505205006","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.7156606","-73.9999082",,,,,,,,,146090017,,,,,,,,,,,,,,"node/11505205063","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.7157599","-73.9999934",,,,,,,,,146090017,,,,,,,,,,,,,,"node/11505205064","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.7157067","-73.9998487",,,,,,,,,146090017,,,,,,,,,,,,,,"node/11505205085","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.7157706","-73.9998047",,,,,,,,,146090017,,,,,,,,,,,,,,"node/11505205109","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.715829","-73.9999637",,,,,,,,,146090017,,,,,,,,,,,,,,"node/11505205188","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.7158144","-74.0000244",,,,,,,,,146090017,,,,,,,,,,,,,,"node/11505205189","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.7157394","-73.9997302",,,,,,,,,146090017,,,,,,,,,,,,,,"node/11505205190","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.715856","-74.0000682",,,,,,,,,146090017,,,,,,,,,,,,,,"node/11505205405","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.7156933","-73.9997681",,,,,,,,,146090017,,,,,,,,,,,,,,"node/11505205406","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-10T05:38:07Z",,11697944,"kguenther24",1,,
"40.7109326","-73.9935644",,,,,"yes",,,,119481826,,,,,,,,,,,,,,"node/9652366152","picnic_table",,,"concrete",,,,,,,,,,,,,,,,,,"chess",,,,,"2022-04-08T18:50:52Z",,5156387,"zhik",1,,
"40.7109163","-73.9935611",,,,,"yes",,,,119481826,,,,,,,,,,,,,,"node/9652366153","picnic_table",,,"concrete",,,,,,,,,,,,,,,,,,"chess",,,,,"2022-04-08T18:50:52Z",,5156387,"zhik",1,,
"40.7109084","-73.9935806",,,,,"yes",,,,119481826,,,,,,,,,,,,,,"node/9652366154","picnic_table",,,"concrete",,,,,,,,,,,,,,,,,,"chess",,,,,"2022-04-08T18:50:52Z",,5156387,"zhik",1,,
"40.7109185","-73.9935382",,,,,"yes",,,,119481826,,,,,,,,,,,,,,"node/9652366155","picnic_table",,,"concrete",,,,,,,,,,,,,,,,,,"chess",,,,,"2022-04-08T18:50:52Z",,5156387,"zhik",1,,
"40.7116148","-74.0029926","yes",,,,"yes",,,,138392617,,,"Light grey",,,,,,,,,,,"node/10960879855","picnic_table","yes",,"concrete",,,,,"Two benches on either side of the table, Graffiti on table slightly blocking chess board",,,,,,,,,,,,,"chess",,,,,"2023-07-11T19:07:50Z",,19827009,"PatrickStar1",3,"limited",
"40.7116326","-74.0029689","yes",,,,"yes",,,,138392617,,,"Light grey",,,,,,,,,,,"node/11040260756","picnic_table","yes",,"concrete",,,,,"Two benches on either side of the table, Graffiti on table slightly blocking chess board",,,,,,,,,,,,,"chess",,,,,"2023-07-11T19:07:50Z",,19827009,"PatrickStar1",2,"limited",
"40.7116756","-74.0030108","yes",,,,"yes",,,,138392617,,,"Light grey",,,,,,,,,,,"node/11040260757","picnic_table","yes",,"concrete",,,,,"Two benches on either side of the table, Graffiti on table slightly blocking chess board",,,,,,,,,,,,,"chess",,,,,"2023-07-11T19:07:50Z",,19827009,"PatrickStar1",2,"limited",
